Split,Name,Season,Region,Games,Win Rate,K:D,GPM,GDM,Game Duration,Kills/Game,Deaths/Game,Towers Killed,Towers Lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA-15MIN,TG-15MIN,GD-15MIN,NASHPG,NASH%,CSM,DPM,WPW,VWPM,WCPM
Spring,bbq Olivers,S8,KR,44,38.60%,0.97,1785,-104,39:50:00,8.5,8.8,5.4,7.4,52.3,38.6,1.52,35.5,0.55,60,0.27,-0.1,-238,1.11,49,36.5,1671,4.8,1.35,2.03
Spring,Bilibili Gaming,S8,CN,50,58.00%,1.1,1848,34,34:47:00,11,10.1,6.3,5.6,58,52,1.66,48.7,-,-,-,-,-,0.96,58.7,35,2041,4.2,1.22,1.81
Spring,Bombers,S8,OCE,22,22.70%,0.65,1691,-223,34:37:00,8.2,12.6,4.1,8.2,45.5,36.4,1.55,46.5,0.32,31.8,0.45,-0.7,-994,0.5,34.9,34.5,1793,4,1.12,1.52
Spring,Cherry Gaming,S8,VN,34,50.00%,0.97,1845,-37,33:13:00,13.3,13.7,6,6.1,52.9,41.2,1.38,50.9,0.32,45.8,0.35,-0.4,-760,0.97,58.9,34.2,2099,4.3,0.9,1.5
Spring,Chiefs eSports Club,S8,OCE,32,71.90%,1.5,1927,181,32:06:00,15.2,10,7.7,4.9,43.8,50,1.75,58.2,0.5,53.3,0.58,0.4,910,0.94,72.8,34.7,2007,3.7,1.16,1.52
Spring,CLG Academy,S8,NA,18,55.60%,1.13,1810,0,36:47:00,12.2,10.8,6.4,6.4,22.2,38.9,1.67,42.5,0.61,64.7,0.44,0,-9,0.89,50.9,34.4,1881,3.9,1.13,1.63
Spring,Cloud9,S8,NA,23,52.20%,1.03,1837,73,37:11:00,10.7,10.4,6.9,5.6,52.2,73.9,1.78,46.2,0.52,57.1,0.61,0.6,1098,0.96,56.5,36.2,2050,4,1.12,1.68
Spring,Cloud9 Academy,S8,NA,22,59.10%,1.15,1876,116,35:24:00,13.2,11.4,7.2,5.8,54.5,59.1,2.05,59.6,0.41,40.9,0.59,0.4,828,0.77,53.4,34.8,2150,4.1,1.09,1.45
Spring,Clutch Gaming,S8,NA,32,50.00%,1.05,1757,-30,36:40:00,8.6,8.2,5.8,6.4,21.9,37.5,1.97,47.4,0.41,41.9,0.63,-0.6,-842,0.91,53.2,34.9,1744,4.2,1.27,1.62
Spring,Clutch Gaming Academy,S8,NA,18,44.40%,1.01,1756,-36,38:54:00,11.8,11.7,6.2,6.2,44.4,66.7,1.61,43.4,0.33,40,0.44,0.2,130,0.94,47.6,32.9,2020,4,1.05,1.55
Spring,CNB e-Sports Club,S8,BR,24,45.80%,0.81,1743,-111,35:21:00,11.7,14.5,5.9,7.4,29.2,41.7,1.63,49.3,0.33,38.1,0.71,-0.2,-934,0.71,39.6,32.5,1997,3.8,1.06,1.52
Spring,Counter Logic Gaming,S8,NA,18,38.90%,0.89,1751,-115,38:13:00,10.4,11.8,5.4,7.8,61.1,50,1.78,45.3,0.33,46.2,0.56,0.2,-14,0.61,28.7,34.1,2119,4.1,1.2,1.68
Spring,Dark Horse,S8,LAS,21,14.30%,0.58,1617,-273,34:50:00,7.2,12.5,3.7,8.6,38.1,38.1,1.24,31.5,0.48,47.6,0.38,-0.6,-776,0.29,19.2,32.3,1578,4.8,1.51,1.58
Spring,Dark Passage,S8,TR,31,38.70%,0.97,1749,-88,33:52:00,10.1,10.5,4.9,7.2,67.7,51.6,1.52,46,0.52,51.6,0.45,-0.2,510,0.81,41.4,34.1,1736,4.1,1.11,1.48
Spring,Dark Tigers,S8,CZ,9,44.40%,0.74,1674,-177,29:19:00,11.4,15.4,4.4,6.3,11.1,44.4,1.22,39.6,0.22,25,0.33,-1.8,-2565,0.56,43.8,30.9,1744,3.5,1.09,1.1
Spring,Dash9 Gaming,S8,LAN,17,52.90%,1.05,1841,80,37:19:00,11.7,11.2,7.4,6.2,41.2,58.8,1.76,49.5,0.59,71.4,0.47,0.2,688,0.88,48,35.1,1985,4.3,1.15,1.53
Spring,Detonation FocusMe,S8,JP,24,75.00%,1.58,1868,184,34:47:00,12.1,7.7,7.6,4.2,58.3,50,1.54,56,0.5,60,0.5,0.2,875,0.83,68.1,35.7,2108,4.8,1.34,1.67
Spring,Dire Wolves,S8,OCE,35,71.40%,1.33,1932,211,33:17:00,12.7,9.5,7.6,4.6,48.6,57.1,1.86,58.4,0.51,56.3,0.68,0.4,864,0.71,59.4,36.7,1999,3.6,0.97,1.51
Spring,Dragon Army,S8,CIS,15,46.70%,0.97,1741,-48,36:19:00,9.1,9.4,6.3,6.8,46.7,26.7,2.27,56.8,0.47,50,0.53,-0.2,-412,0.73,42.2,34.5,1623,4.1,1.14,1.61
Spring,E-Monkeyz Club,S8,ES,28,21.40%,0.58,1644,-270,31:48:00,8.4,14.4,3.6,8.1,32.1,14.3,0.96,30.1,0.18,29.4,0.3,-0.8,-1608,0.29,26.3,32.8,1782,3.7,1.06,1.3
Spring,Echo Fox,S8,NA,26,61.50%,1.06,1863,102,35:00:00,12.1,11.4,6.8,5.5,57.7,53.8,2.04,57.1,0.62,64,0.58,0.5,1023,0.92,53.3,35.9,2167,3.7,0.94,1.49
Spring,Echo Fox Academy,S8,NA,27,59.30%,1.19,1863,114,34:57:00,11.1,9.4,6.9,5.5,48.1,77.8,1.85,54.4,0.37,41.7,0.85,0.6,587,1.04,66.7,36.2,1902,3.8,1.01,1.33
Spring,Edward Gaming,S8,CN,56,60.70%,1.2,1865,86,32:52:00,10.7,8.9,6.4,5.2,58.9,62.5,1.8,59.4,-,-,-,-,-,0.89,61.5,35.5,1821,4.2,1.29,1.71
Spring,Elements Pro Gaming,S8,CIS,14,28.60%,0.56,1686,-236,34:07:00,7.9,13.9,4.3,7.6,21.4,64.3,1.14,32.1,0.57,66.7,0.5,-0.4,-1048,0.43,26.9,33.8,1835,4.1,1.07,1.42
Spring,eSuba,S8,CZ,14,100.00%,3.01,2158,681,25:34:00,23,7.4,9.9,0.5,92.9,92.9,1.64,87.8,0.93,92.9,0.64,2.8,5566,0.71,90.9,33.4,2671,3.6,0.87,0.96
Spring,EURONICS Gaming,S8,EUW,3,0.00%,0.43,1665,-329,36:44:00,5,11.7,3,11,66.7,33.3,0.67,17.8,0.33,50,0.33,0,-832,0.33,16.7,37.1,1555,3.4,1.28,1.45
Spring,Ever8 Winners,S8,KR,6,33.30%,0.67,1640,-259,39:15:00,7.5,11.2,3.3,8.7,50,16.7,1.33,36.4,0.33,100,0.5,-0.5,-2183,0.5,22.2,35.2,1388,4.4,1.54,1.55
Spring,EVOS Esports,S8,VN,52,65.40%,1.18,1932,149,32:19:00,13.6,11.5,7.3,5,40.4,51.9,1.5,55.5,0.35,47.4,0.41,0.4,933,0.77,57.1,36.1,2013,4.1,1.09,1.53
Spring,exceL eSports,S8,EUW,9,55.60%,0.75,1740,-87,34:34:00,9.7,12.9,6.3,6.6,55.6,44.4,2.11,45.8,0.44,50,0.78,-1,-1832,0.67,37,33.6,1848,3.8,1.06,1.25
Spring,eXtatus,S8,CZ,15,60.00%,1.19,1864,139,25:41:00,12.5,10.5,6.3,4.2,60,66.7,1.47,63.9,0.67,66.7,0.87,1.3,2068,0.53,61.5,31.6,1974,3.5,1.18,0.97
Spring,FC Schalke 04,S8,EUW,18,38.90%,0.99,1767,-44,37:42:00,9.1,9.2,5.8,7.1,50,38.9,1.67,46.8,0.39,43.8,0.5,-0.4,-194,0.72,47.2,35.6,1893,4.5,1.18,1.74
Spring,FFQTV Gaming,S8,VN,35,37.10%,0.75,1775,-154,30:44:00,11,14.5,5.3,6.7,48.6,62.9,0.74,28.4,0.34,40,0.14,0.1,-554,0.63,47.8,32.9,1898,4.1,1.05,1.41
Spring,Flash Wolves,S8,TW,52,76.90%,1.9,1904,237,33:27:00,12.2,6.4,7.9,3.8,61.5,59.6,1.81,62.4,0.62,74.4,0.54,0.3,666,1.02,74.2,35.3,1955,4.7,1.37,1.69
