Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
17,Ashe,Support,57.10%,1.83%,0.87%,7.2,3.22,3.27,4.6,7,7993,8067,853,101.2,0.52,1.03,6750,14,18
18,Aurelion Sol,Middle,52.03%,0.77%,0.03%,5.67,5.7,5.21,8.36,6,18255,21411,4107,156.5,1.17,4.83,10391,43,2
19,Azir,Middle,43.92%,1.30%,0.04%,4.04,5.76,6.03,6.43,7,19579,18853,2222,181.2,2.01,8.71,11540,47,0
20,Bard,Support,52.45%,5.26%,0.35%,6.21,2.52,4.97,12.46,6,9807,15916,6037,31.7,0.17,0.14,7573,8,2
21,Blitzcrank,Support,50.74%,5.33%,2.27%,5.8,2.15,5.5,11.19,5,7847,17488,1619,29.9,0.13,0.11,7293,9,7
22,Brand,Support,50.47%,2.09%,0.27%,5.98,4.96,7.1,8.84,6,19131,17337,1921,33.3,0.8,1.7,8934,12,1
23,Braum,Support,48.41%,1.96%,0.06%,5.21,1.43,5.25,13.3,3,6716,17977,2368,29.9,0.05,0.07,7215,55,2
24,Caitlyn,ADC,50.38%,7.36%,0.81%,8.8,6.44,5.63,7.28,8,20215,17500,3115,180.3,1.87,7.59,12052,11,4
25,Camille,Support,50.44%,0.77%,0.20%,11.35,3.11,3.33,2.48,5,7946,11426,1167,97.4,0.74,0.67,6421,59,5
26,Camille,Top,50.32%,3.51%,0.20%,5.38,6.27,5.92,5.72,7,18507,25920,3639,165.1,2.76,3.96,11445,5,6
27,Cassiopeia,ADC,53.08%,0.43%,0.62%,22.23,6.92,5.95,6.89,7,19767,22119,8110,177,2.61,8.56,11824,14,2
28,Cassiopeia,Middle,50.06%,1.80%,0.62%,5.29,6.58,6.07,5.99,9,20437,23240,7856,179.1,2.95,10.26,11715,24,6
29,Cho'Gath,Middle,51.58%,0.28%,0.05%,5.7,7.48,5.87,6.93,6,19867,28698,7058,167,2.17,5.95,11717,23,20
30,Cho'Gath,Top,48.29%,0.81%,0.05%,3.96,5.98,5.83,6.16,7,18024,32052,7543,161.1,1.48,3.17,11140,36,3
31,Corki,Middle,47.00%,1.19%,0.03%,4.93,7.3,6.05,6.51,8,23804,20820,2921,185,3.05,10.46,12440,19,9
32,Darius,Top,50.23%,3.78%,4.84%,6.41,6.65,5.79,4.56,7,17105,28007,5617,174.2,1.89,2.42,11655,1,1
33,Diana,Middle,50.23%,2.28%,0.78%,5.21,7.33,6.48,6.43,8,20901,22066,3950,163.5,3.47,8.45,11793,17,6
34,Dr. Mundo,Jungle,50.57%,0.49%,0.06%,4.6,5.27,5.04,7.31,6,16084,36103,16571,46.5,10.79,80.08,10969,17,8
35,Dr. Mundo,Top,49.26%,0.72%,0.06%,3.26,4.8,5.47,6.73,6,20322,34411,8644,166.8,2.39,2.81,11142,22,4
36,Draven,ADC,50.82%,2.48%,0.61%,8.11,7.34,6.41,6.78,8,20990,19684,1962,178,2.66,8.64,12966,7,3
37,Ekko,Jungle,50.15%,6.92%,2.57%,13.26,7.13,5.23,7.01,9,16663,29705,13903,39.6,7.92,78.2,10775,4,1
38,Ekko,Middle,50.68%,2.61%,2.57%,7.08,7.39,5.66,6.21,8,19978,26710,8369,164.9,1.93,4.77,11605,4,0
39,Elise,Jungle,50.83%,3.78%,1.12%,6.99,6.16,5.29,7.37,7,13856,20569,7297,25.6,7.57,68.97,9942,25,4
40,Evelynn,Jungle,49.63%,2.96%,1.16%,6.32,8,5.34,6.36,8,17665,22638,8391,18.7,9.28,83.74,10743,14,2
41,Ezreal,ADC,48.96%,15.73%,2.92%,8.02,6.67,5.23,7.38,10,22783,17877,2633,178.2,1.9,7.17,11830,1,0
42,Fiddlesticks,Jungle,51.02%,3.79%,2.07%,6.3,5.55,5.48,8.46,6,15950,27821,14945,34.6,7.13,86.03,10410,7,2
43,Fiora,Support,52.31%,0.46%,0.99%,32.38,3.14,3.42,1.64,5,8117,12373,3147,106.5,1.18,0.81,6717,42,5
44,Fiora,Top,49.04%,2.69%,0.99%,6.41,5.9,6.26,4.39,6,18476,28628,8431,180.5,3.72,4.08,11934,11,5
45,Fizz,Middle,51.05%,2.86%,1.37%,6,8.34,5.69,5.89,10,18514,21664,3710,156.2,1.31,3.99,11584,8,1
46,Fizz,Support,51.90%,0.48%,1.37%,24.79,4.22,3.02,2.55,7,7790,9869,1016,99.3,0.52,0.84,6668,29,9
47,Galio,Middle,52.06%,2.43%,0.33%,6.29,5.17,5.28,9.93,8,17323,21811,2057,155.3,0.98,3.09,10460,32,10
48,Galio,Support,51.72%,1.18%,0.33%,7.12,2.68,4.6,8.68,4,9028,15218,1252,62.2,0.26,0.43,7072,41,2
49,Gangplank,Top,47.91%,1.72%,0.17%,9.28,4.88,5.31,7.37,7,20742,24195,6821,192.6,1.83,4.16,12494,7,10
50,Garen,Top,50.45%,3.94%,0.89%,3.41,6.36,4.93,4.38,7,17965,27014,3301,175.6,3.49,3.76,11888,2,1
51,Gnar,Top,48.54%,1.56%,0.08%,4.18,5.09,5.59,6.64,8,19458,26815,3935,164.8,1.97,2.61,11163,32,4
52,Gragas,Jungle,45.95%,1.37%,0.02%,6.48,4.9,5.42,8.32,6,13990,26359,11257,27.8,6.45,76.49,9692,44,1
53,Gragas,Top,48.54%,0.39%,0.02%,8.45,5.05,5.59,6.95,5,18967,25855,8229,157.9,1.99,3.98,10629,43,2
54,Graves,Jungle,50.60%,7.47%,2.43%,6.88,5.85,4.88,7.07,9,15565,21644,7748,46.6,12.77,84.55,11071,3,1
55,Hecarim,Jungle,51.62%,2.99%,0.14%,5.26,6.99,5.23,7.79,7,15001,32337,13527,36,8.7,84.35,11122,8,3
56,Hecarim,Top,47.81%,0.41%,0.14%,9.43,6.52,6.02,6.46,7,17617,28064,8318,158.8,2.52,3.88,11304,41,10
57,Heimerdinger,ADC,48.62%,0.32%,0.06%,35.76,5.23,6.04,8.22,5,24194,16717,2545,170.7,1.2,3.25,11300,24,1
58,Heimerdinger,Middle,48.59%,0.38%,0.06%,7.1,5.46,6.14,6.82,9,25043,17515,2291,168.1,1.39,4.09,11269,45,6
59,Heimerdinger,Top,46.43%,0.27%,0.06%,6.05,4.6,6.21,5.56,5,23738,17532,2180,173,1.59,2.77,11074,45,2
60,Illaoi,Top,46.97%,1.22%,0.36%,5.35,5.17,6.22,4.48,6,23043,30449,8825,193.6,1.37,1.26,11650,28,16
61,Irelia,Middle,44.91%,1.45%,0.77%,21.8,7.72,7.2,5.26,9,19053,28076,6975,196.1,2.72,4.53,12558,36,8
