Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
171,Vladimir,Middle,51.52%,2.28%,1.42%,5.48,6.8,5.47,6.12,7,22923,28919,22999,183.1,1.99,4.3,11785,5,1
172,Vladimir,Top,50.31%,1.60%,1.42%,6.07,5.19,5.37,5.59,5,20694,27554,21699,182.4,1.72,3.55,11158,6,8
173,Volibear,Jungle,52.66%,5.39%,3.27%,3.93,5.55,4.95,8.34,7,13546,30078,8900,39.9,7.59,73.2,10595,2,1
174,Volibear,Top,49.95%,2.83%,3.27%,4.45,5.69,5.74,6.3,6,17953,27970,5195,153.8,2.01,3.56,11081,3,0
175,Warwick,Jungle,50.61%,2.76%,0.19%,5,6.65,5.91,7.53,7,12658,32728,16160,32.6,7.63,72.11,10663,23,1
176,Wukong,Jungle,51.08%,1.64%,1.03%,5.85,6.42,5.3,7.01,7,14065,25587,8152,49.9,7.31,68.18,10893,19,3
177,Wukong,Top,50.27%,2.56%,1.03%,6.23,5.99,5.6,6,6,17113,24440,4321,166.2,2.59,3.81,11538,12,6
178,Xayah,ADC,47.84%,2.35%,0.04%,4.44,6.76,5.87,7.26,7,19909,18346,2476,181.2,2.37,9.15,12170,18,0
179,Xerath,Middle,46.34%,1.28%,0.12%,4.73,6.57,5.03,8.56,7,24795,14952,1254,167.2,1.13,5.71,11377,17,3
180,Xerath,Support,51.25%,1.70%,0.12%,10.05,4.16,5.47,9.18,6,17711,12368,894,44.4,0.64,1.23,8531,16,2
181,Xin Zhao,Jungle,52.45%,1.26%,0.03%,3.86,5.96,6.04,7.28,6,14425,30100,15117,29.8,9.25,73.23,10431,24,14
182,Yasuo,ADC,50.35%,1.41%,4.38%,27.56,7.48,6.98,6.84,8,18178,21581,4644,181,3.9,8.45,12474,6,1
183,Yasuo,Middle,47.99%,4.73%,4.38%,9.48,6.87,7.06,5.67,8,18601,22255,4528,183,4.54,7.39,12202,4,1
184,Yorick,Top,51.26%,1.08%,0.10%,5.23,4.29,5.17,4.9,5,19053,25719,6569,187.6,3.21,3.52,11881,22,7
185,Yuumi,Support,46.57%,5.36%,3.36%,NaN,1.6,3.83,14.11,3,7822,7489,12411,7.2,0.11,0.17,7152,2,0
186,Zac,Jungle,49.63%,4.04%,0.73%,4.87,4.19,4.35,10.82,5,12955,35598,30913,35.7,5.36,75.42,9796,14,6
187,Zed,Middle,51.43%,6.35%,3.98%,5.77,9.18,6.19,5.77,8,22741,20746,3125,165.6,1.97,4.11,12190,1,0
188,Ziggs,Middle,51.21%,0.75%,0.01%,4.63,5.38,5.63,8.05,5,24943,16266,1451,180.6,1.65,6.84,11595,20,4
189,Zilean,Support,53.21%,1.80%,0.11%,6.03,2.24,4.73,11.51,4,10217,13849,5211,38.9,0.28,0.37,7684,20,4
190,Zoe,Middle,48.00%,2.72%,0.54%,NaN,6.7,5.55,7.18,6,21562,17953,3901,152.3,1.08,4.51,10881,28,3
191,Zoe,Support,49.43%,0.56%,0.54%,NaN,3.88,3.73,4.28,4,10297,9724,1633,83.4,0.44,1.05,6886,38,11
192,Zyra,Support,51.34%,2.30%,0.16%,6.27,3.59,6.09,9.92,5,17571,14715,1512,36.9,0.69,1.15,8648,18,1
"Champion.gg isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing League of Legends. League of Legends and Riot Games are trademarks or registered trademarks of Riot Games, Inc. League of Legends © Riot Games, Inc.",,,,,,,,,,,,,,,,,,,
Blitz App • FortniteMaster • StatsRealmRoyale • PUBG‌ • ProBuilds • Store‌ • TSM News‌ • ChampionSelect‌ • LoLCounter‌ • NewsOfLegends • DotaHut • Terms of Service • Privacy Policy • Contact Us • Advertise with us,,,,,,,,,,,,,,,,,,,
