SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SUMMER,S10,Sejuani Sejuani,30,3,2%,8.3,15,15,50%,3.3,31:33:00,5.2,225,-7.1
SUMMER,S10,Qiyana Qiyana,17,15,2%,5.6,8,9,47%,3.1,32:08:00,7.6,479,-9.3
SUMMER,S10,Chogath Chogath,26,6,2%,8.2,13,13,50%,2.3,33:29:00,7.3,378,-4.2
SUMMER,S10,Xayah Xayah,26,6,2%,5.5,11,15,42%,3.3,32:51:00,9.7,497,-1.2
SUMMER,S10,Illaoi Illaoi,9,19,2%,5.2,3,6,33%,1.4,32:52:00,8,521,1.9
SUMMER,S10,Riven Riven,3,24,2%,4,1,2,33%,2.4,36:31:00,7.8,320,4.3
SUMMER,S10,Hecarim Hecarim,19,8,2%,7.6,7,12,37%,2.5,31:05:00,7.3,427,-4.4
SUMMER,S10,Kayn Kayn,12,12,2%,3.8,2,10,17%,1.5,29:52:00,5.7,298,2.7
SUMMER,S10,Skarner Skarner,16,7,1%,5.6,9,7,56%,3.4,32:27:00,4.9,129,-5.4
SUMMER,S10,VelKoz VelKoz,10,13,1%,7.5,7,3,70%,4.6,34:03:00,8.1,719,1.1
SUMMER,S10,Kled Kled,11,12,1%,6,6,5,55%,5.5,29:28:00,7.8,305,-2.9
SUMMER,S10,Vayne Vayne,15,8,1%,8.1,5,10,33%,2.1,32:05:00,8.2,441,-11
SUMMER,S10,Draven Draven,9,13,1%,6.8,7,2,78%,7.4,32:50:00,8.9,510,9.9
SUMMER,S10,Darius Darius,4,18,1%,7.6,2,2,50%,2.2,28:00:00,7.6,445,9
SUMMER,S10,Tristana Tristana,13,8,1%,7.5,5,8,38%,2.8,32:22:00,9,387,8.9
SUMMER,S10,Lux Lux,13,8,1%,5.9,6,7,46%,4,34:34:00,3.3,355,1.7
SUMMER,S10,Diana Diana,11,9,1%,7.6,5,6,45%,3.2,30:42:00,8.1,503,-8.1
