Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,Gilius,JUNGLE,32,50%,2.5,1.2,2.6,5.2,4.7,305,68.00%,9.8,182,2.34,1.16,0.53,0.24,0,-1,-231,37.50%,12.50%,0,-
Spring,S8,GimGoon,TOP,45,46.70%,2.9,2.1,2.3,4.7,8.5,394,57.00%,24.8,459,-,0.63,0.19,0.12,-,-,-,-,-,0,-
Spring,S8,Glebo,TOP,5,40%,2.3,0.8,2,3.8,7.2,322,47.00%,16.4,261,0.95,0.49,0.19,0.19,-547,-12,-403,0%,20%,0,-
Spring,S8,Goku,MID,20,45%,4.6,4.5,2.3,5.9,8.7,400,75.00%,29.8,603,1.24,0.64,0.26,0.32,81,-2,-13,25%,10%,1,1
Spring,S8,Goldenglue,MID,22,59.10%,4.9,3.7,2,6.3,9.8,431,75.60%,29.5,629,1.25,0.54,0.26,0.14,151,5,40,31.80%,9.10%,0,3
Spring,S8,GorillA,SUPPORT,62,74.20%,4.3,0.5,2,7.9,1.9,273,67.60%,7.1,139,2.38,1.49,0.39,0.47,-16,2,68,25.80%,12.90%,0,1
Spring,S8,Gorny,JUNGLE,9,22.20%,1.3,1.9,4.3,3.7,4.2,292,56.50%,12.4,228,1.04,0.54,0.2,0.19,-968,-21,-1131,22.20%,22.20%,0,1
Spring,S8,Grace,MID,36,44.40%,3.9,2.8,1.8,4.4,10,408,71.10%,29.2,545,1.02,0.55,0.24,0.13,-202,-1,-131,22.20%,5.60%,0,7
Spring,S8,Gralou,SUPPORT,17,52.90%,4.3,0.6,2,8,1.5,256,63.90%,6.5,123,2.41,1.36,0.34,0.4,2,-2,-280,0%,0%,0,5
Spring,S8,Grig,JUNGLE,18,44.40%,3.2,1.2,2.2,5.7,5,310,72.80%,9,187,1.96,0.97,0.26,0.23,-116,-5,28,44.40%,16.70%,0,3
Spring,S8,Grisen,SUPPORT,13,23.10%,1.6,0.5,3.3,4.8,2.1,240,75.10%,10.7,163,2.27,1.18,0.37,0.27,-199,6,-189,30.80%,0%,0,-
Spring,S8,Gumbo,JUNGLE,6,0%,1,0.5,3.7,3.2,4.4,265,71.00%,7.6,115,3.01,1.46,0.64,0.29,-366,-4,-230,0%,16.70%,0,-
Spring,S8,Guoguo,MID,48,54.20%,4.4,3.4,1.8,4.5,9.6,409,74.00%,23.8,458,-,0.55,0.23,0.17,-,-,-,-,-,1,-
Spring,S8,H4cker,JUNGLE,36,55.60%,3.9,1.8,2.3,7.1,5.2,330,72.40%,10.2,191,-,1.15,0.54,0.39,-,-,-,-,-,0,-
Spring,S8,HW4NG,MID,5,20%,1.9,1.8,3,3.8,8.5,350,63.40%,29.8,528,1.03,0.63,0.14,0.21,-359,-9,-256,0%,20%,0,1
Spring,S8,Hai,MID,18,22.20%,2.3,1.9,2.9,4.8,9,376,72.80%,28.6,539,1.19,0.58,0.26,0.16,-697,-15,-404,16.70%,16.70%,0,4
Spring,S8,Hakuho,SUPPORT,32,50%,3.6,0.6,1.8,5.7,1.5,253,68.10%,10,165,2.45,1.34,0.44,0.42,-24,-3,90,6.30%,15.60%,0,-
