Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
193,Xin Zhao,Jungle,48.42%,1.74%,0.05%,3.28,5.92,6.43,6.91,8,14279,30175,14751,30.1,8.34,67.77,10191,37,3
194,Yasuo,ADC,51.45%,2.02%,4.83%,8.2,8.17,7.27,6.94,10,19573,22080,4700,171.4,4.26,7.64,12552,2,2
195,Yasuo,Middle,49.72%,6.98%,4.83%,3.9,7.77,7.43,5.97,8,20064,22736,4368,168.1,4.54,6.72,12237,2,1
196,Yorick,Top,52.51%,1.45%,0.16%,3.27,4.88,5.35,4.87,6,19861,26142,6606,178.3,3.02,3.68,11900,8,8
197,Yuumi,Support,48.21%,5.43%,2.49%,NaN,1.65,3.84,14.6,4,7668,7613,12527,6.7,0.14,0.22,7279,4,0
198,Zac,Jungle,51.14%,3.31%,0.47%,2.69,4.24,4.5,10.85,8,13126,35964,30118,35.8,5.53,72.03,9793,8,3
199,Zed,Middle,50.43%,6.60%,4.22%,2.73,9.77,6.66,6,10,23517,21544,3310,149.6,1.87,3.63,12116,1,1
200,Ziggs,ADC,52.01%,0.23%,0.03%,3.99,5.88,5.96,9.02,6,25398,16544,2087,163,1.52,4.52,11512,15,0
201,Ziggs,Middle,49.98%,0.87%,0.03%,2.95,5.44,5.78,7.7,7,24196,16291,1381,157.9,1.33,4.42,11022,33,13
202,Ziggs,Support,51.81%,0.26%,0.03%,4.46,3.5,4.99,6.69,4,15570,11687,941,71.2,0.59,1.51,7979,31,6
203,Zilean,Support,51.32%,1.31%,0.08%,2.62,2.7,5.06,11.45,5,11968,14816,5553,40.9,0.36,0.52,8064,20,1
204,Zoe,Middle,46.20%,2.42%,0.37%,NaN,6.57,6.02,7.27,7,21165,18719,3768,134.6,0.82,2.83,10470,41,0
205,Zoe,Support,47.92%,0.53%,0.37%,NaN,3.84,4.8,5.28,6,11757,11954,1886,67,0.33,0.92,7154,43,0
206,Zyra,Support,51.82%,2.44%,0.26%,3.96,3.84,6.34,10.2,6,18638,15562,1691,41.7,0.73,1.22,8937,13,1
"Champion.gg isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing League of Legends. League of Legends and Riot Games are trademarks or registered trademarks of Riot Games, Inc. League of Legends © Riot Games, Inc.",,,,,,,,,,,,,,,,,,,
Blitz App • FortniteMaster • StatsRealmRoyale • PUBG‌ • ProBuilds • Store‌ • TSM News‌ • ChampionSelect‌ • LoLCounter‌ • NewsOfLegends • DotaHut • Terms of Service • Privacy Policy • Contact Us • Advertise with us,,,,,,,,,,,,,,,,,,,
